<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2020.09.22;19:32:00;117800;117820;117760;117760;89;151;10
2020.09.22;19:33:00;117760;117800;117730;117760;198;401;10
2020.09.22;19:34:00;117750;117780;117720;117730;106;225;10
2020.09.22;19:35:00;117730;117770;117670;117760;227;451;10
2020.09.22;19:36:00;117770;117830;117760;117790;134;247;10
2020.09.22;19:37:00;117810;117830;117760;117770;113;289;10
2020.09.22;19:38:00;117770;117800;117730;117790;118;435;10
2020.09.22;19:39:00;117780;117860;117750;117850;338;881;10
2020.09.22;19:40:00;117850;117880;117800;117850;490;748;10
2020.09.22;19:41:00;117850;117950;117800;117830;614;1240;10
2020.09.22;19:42:00;117830;117830;117770;117790;132;231;10
2020.09.22;19:43:00;117790;117820;117780;117810;75;122;10
2020.09.22;19:44:00;117820;117900;117820;117890;194;368;10
2020.09.22;19:45:00;117900;117930;117820;117870;339;674;10
2020.09.22;19:46:00;117870;117880;117810;117850;254;400;10
2020.09.22;19:47:00;117840;117930;117800;117930;550;1082;10
2020.09.22;19:48:00;117920;117920;117810;117840;297;523;10
2020.09.22;19:49:00;117830;117830;117770;117830;294;589;10
2020.09.22;19:50:00;117830;117850;117780;117840;147;504;10
2020.09.22;19:51:00;117850;117850;117830;117850;54;80;10
2020.09.22;19:52:00;117840;117840;117720;117740;253;470;10
2020.09.22;19:53:00;117740;117750;117650;117700;308;618;10
2020.09.22;19:54:00;117690;117730;117670;117730;193;302;10
2020.09.22;19:55:00;117710;117710;117610;117650;406;871;10
2020.09.22;19:56:00;117650;117690;117610;117680;228;465;10
2020.09.22;19:57:00;117680;117760;117680;117720;267;647;10
2020.09.22;19:58:00;117720;117800;117710;117790;137;345;10
2020.09.22;19:59:00;117790;117820;117760;117770;174;295;10
2020.09.22;20:00:00;117790;117810;117760;117770;124;259;10
2020.09.22;20:01:00;117770;117770;117710;117730;144;352;10
2020.09.22;20:02:00;117740;117740;117700;117710;92;242;10
2020.09.22;20:03:00;117720;117730;117690;117730;88;165;10
2020.09.22;20:04:00;117740;117780;117720;117740;87;135;10
2020.09.22;20:05:00;117720;117770;117710;117760;39;57;10
2020.09.22;20:06:00;117740;117760;117720;117750;128;409;10
2020.09.22;20:07:00;117740;117750;117710;117730;98;210;10
2020.09.22;20:08:00;117730;117730;117680;117700;186;438;10
2020.09.22;20:09:00;117700;117710;117660;117680;98;196;10
2020.09.22;20:10:00;117670;117720;117650;117720;182;471;10
2020.09.22;20:11:00;117720;117720;117650;117680;310;606;10
2020.09.22;20:12:00;117680;117730;117680;117730;129;316;10
2020.09.22;20:13:00;117730;117740;117700;117730;88;159;10
2020.09.22;20:14:00;117730;117740;117710;117710;77;163;10
2020.09.22;20:15:00;117710;117740;117700;117740;54;146;10
2020.09.22;20:16:00;117730;117820;117730;117780;281;883;10
2020.09.22;20:17:00;117770;117820;117770;117780;111;199;10
2020.09.22;20:18:00;117780;117800;117770;117790;76;217;10
2020.09.22;20:19:00;117780;117800;117760;117800;49;148;10
2020.09.22;20:20:00;117800;117800;117750;117780;77;299;10
2020.09.22;20:21:00;117780;117780;117720;117720;51;128;10
2020.09.22;20:22:00;117720;117740;117660;117710;275;640;10
2020.09.22;20:23:00;117710;117720;117690;117710;70;160;10
2020.09.22;20:24:00;117720;117770;117720;117770;64;133;10
2020.09.22;20:25:00;117760;117850;117760;117850;214;404;10
2020.09.22;20:26:00;117850;117860;117810;117810;82;126;10
2020.09.22;20:27:00;117820;117880;117810;117850;152;254;10
2020.09.22;20:28:00;117860;117890;117850;117880;100;150;10
2020.09.22;20:29:00;117880;117890;117870;117870;57;249;10
2020.09.22;20:30:00;117870;117880;117810;117820;126;238;10
2020.09.22;20:31:00;117820;117850;117800;117840;96;166;10
2020.09.22;20:32:00;117820;117840;117810;117830;51;82;10
2020.09.22;20:33:00;117830;117910;117830;117910;124;216;10
2020.09.22;20:34:00;117910;117920;117880;117880;60;125;10
2020.09.22;20:35:00;117880;117890;117840;117850;89;142;10
2020.09.22;20:36:00;117860;117890;117830;117880;80;127;10
2020.09.22;20:37:00;117840;117860;117840;117850;40;56;10
2020.09.22;20:38:00;117860;117860;117800;117840;84;123;10
2020.09.22;20:39:00;117840;117840;117820;117830;17;24;10
2020.09.22;20:40:00;117840;117850;117780;117780;98;164;10
2020.09.22;20:41:00;117780;117840;117760;117830;131;173;10
2020.09.22;20:42:00;117830;117900;117830;117890;137;243;10
2020.09.22;20:43:00;117900;117930;117870;117910;131;181;10
2020.09.22;20:44:00;117920;117920;117860;117880;108;176;10
2020.09.22;20:45:00;117880;117890;117860;117880;70;123;10
2020.09.22;20:46:00;117880;117940;117880;117930;117;269;10
2020.09.22;20:47:00;117930;118030;117920;118020;582;1168;10
2020.09.22;20:48:00;118030;118040;117990;118030;270;826;10
2020.09.22;20:49:00;118030;118080;118000;118060;179;447;10
2020.09.22;20:50:00;118060;118080;118000;118010;195;471;10
2020.09.22;20:51:00;118010;118080;118010;118060;134;211;10
2020.09.22;20:52:00;118050;118070;118030;118070;192;440;10
2020.09.22;20:53:00;118070;118130;118050;118110;278;748;10
2020.09.22;20:54:00;118110;118200;118100;118160;374;667;10
2020.09.22;20:55:00;118160;118200;118150;118150;230;503;10
2020.09.22;20:56:00;118150;118190;118110;118130;193;298;10
2020.09.22;20:57:00;118130;118190;118130;118180;183;308;10
2020.09.22;20:58:00;118180;118190;118150;118160;136;184;10
2020.09.22;20:59:00;118150;118160;118120;118120;210;321;10
2020.09.22;21:00:00;118150;118250;118150;118230;430;869;10
2020.09.22;21:01:00;118230;118310;118220;118300;571;1018;10
2020.09.22;21:02:00;118300;118410;118300;118370;558;1232;10
2020.09.22;21:03:00;118380;118410;118360;118390;199;422;10
2020.09.22;21:04:00;118370;118380;118340;118360;224;481;10
2020.09.22;21:05:00;118370;118380;118350;118360;170;297;10
2020.09.22;21:06:00;118370;118420;118370;118390;267;773;10
2020.09.22;21:07:00;118380;118390;118370;118380;137;229;10
2020.09.22;21:08:00;118370;118400;118360;118360;75;154;10
2020.09.22;21:09:00;118360;118380;118300;118300;293;446;10
2020.09.22;21:10:00;118310;118320;118250;118270;321;532;10
2020.09.22;21:11:00;118280;118310;118260;118290;219;426;10
2020.09.22;21:12:00;118290;118320;118270;118310;103;284;10
2020.09.22;21:13:00;118320;118380;118320;118330;230;492;10
2020.09.22;21:14:00;118320;118350;118310;118320;161;253;10
2020.09.22;21:15:00;118330;118340;118310;118340;118;179;10
2020.09.22;21:16:00;118340;118370;118330;118330;120;205;10
2020.09.22;21:17:00;118340;118360;118290;118310;222;581;10
2020.09.22;21:18:00;118310;118330;118280;118310;271;525;10
2020.09.22;21:19:00;118310;118370;118310;118350;98;185;10
2020.09.22;21:20:00;118340;118340;118240;118280;359;815;10
2020.09.22;21:21:00;118280;118290;118220;118260;253;570;10
2020.09.22;21:22:00;118260;118270;118210;118230;156;335;10
2020.09.22;21:23:00;118230;118280;118230;118250;118;283;10
2020.09.22;21:24:00;118240;118260;118170;118210;246;665;10
2020.09.22;21:25:00;118210;118280;118200;118250;129;255;10
2020.09.22;21:26:00;118260;118270;118220;118240;167;533;10
2020.09.22;21:27:00;118250;118300;118240;118280;161;307;10
2020.09.22;21:28:00;118290;118310;118270;118300;101;137;10
2020.09.22;21:29:00;118300;118340;118280;118340;92;217;10
2020.09.22;21:30:00;118340;118390;118330;118360;267;537;10
2020.09.22;21:31:00;118370;118380;118300;118310;179;326;10
2020.09.22;21:32:00;118320;118320;118290;118290;89;160;10
2020.09.22;21:33:00;118290;118290;118230;118270;150;335;10
2020.09.22;21:34:00;118270;118300;118240;118250;114;198;10
2020.09.22;21:35:00;118240;118260;118230;118250;102;203;10
2020.09.22;21:36:00;118240;118240;118190;118230;213;477;10
2020.09.22;21:37:00;118240;118250;118220;118240;34;49;10
2020.09.22;21:38:00;118240;118260;118230;118240;73;190;10
2020.09.22;21:39:00;118250;118260;118230;118250;43;62;10
2020.09.22;21:40:00;118250;118300;118250;118280;103;238;10
2020.09.22;21:41:00;118290;118300;118280;118300;36;69;10
2020.09.22;21:42:00;118300;118310;118280;118290;76;152;10
2020.09.22;21:43:00;118290;118290;118240;118280;84;191;10
2020.09.22;21:44:00;118270;118320;118270;118300;73;134;10
2020.09.22;21:45:00;118320;118320;118260;118270;84;157;10
2020.09.22;21:46:00;118270;118310;118260;118300;119;308;10
2020.09.22;21:47:00;118290;118350;118290;118330;116;200;10
2020.09.22;21:48:00;118320;118340;118310;118330;63;110;10
2020.09.22;21:49:00;118330;118350;118320;118340;85;164;10
2020.09.22;21:50:00;118340;118410;118330;118400;303;661;10
2020.09.22;21:51:00;118390;118450;118390;118430;245;440;10
2020.09.22;21:52:00;118430;118460;118400;118440;299;679;10
2020.09.22;21:53:00;118440;118450;118350;118420;379;698;10
2020.09.22;21:54:00;118410;118440;118410;118430;52;74;10
2020.09.22;21:55:00;118420;118580;118410;118560;768;1490;10
2020.09.22;21:56:00;118560;118580;118480;118520;261;401;10
2020.09.22;21:57:00;118510;118560;118500;118530;150;281;10
2020.09.22;21:58:00;118530;118540;118480;118510;205;390;10
2020.09.22;21:59:00;118500;118510;118450;118490;275;535;10
2020.09.22;22:00:00;118490;118500;118420;118470;194;367;10
2020.09.22;22:01:00;118470;118490;118450;118460;101;170;10
2020.09.22;22:02:00;118460;118520;118460;118480;186;386;10
2020.09.22;22:03:00;118470;118510;118430;118490;288;888;10
2020.09.22;22:04:00;118480;118500;118430;118470;186;318;10
2020.09.22;22:05:00;118480;118520;118470;118520;91;197;10
2020.09.22;22:06:00;118510;118570;118510;118550;217;417;10
2020.09.22;22:07:00;118550;118610;118530;118600;223;434;10
2020.09.22;22:08:00;118600;118670;118590;118650;314;565;10
2020.09.22;22:09:00;118650;118680;118590;118610;213;438;10
2020.09.22;22:10:00;118600;118640;118600;118610;68;109;10
2020.09.22;22:11:00;118610;118630;118600;118600;41;64;10
2020.09.22;22:12:00;118600;118600;118560;118570;115;192;10
2020.09.22;22:13:00;118570;118590;118560;118580;30;44;10
2020.09.22;22:14:00;118590;118590;118530;118540;114;245;10
2020.09.22;22:15:00;118530;118530;118450;118460;257;463;10
2020.09.22;22:16:00;118450;118530;118450;118490;217;426;10
2020.09.22;22:17:00;118490;118530;118460;118500;146;288;10
2020.09.22;22:18:00;118490;118550;118490;118540;88;166;10
2020.09.22;22:19:00;118540;118600;118540;118590;104;187;10
2020.09.22;22:20:00;118580;118630;118540;118560;150;262;10
2020.09.22;22:21:00;118550;118620;118540;118610;164;491;10
2020.09.22;22:22:00;118610;118620;118570;118620;203;535;10
2020.09.22;22:23:00;118620;118680;118620;118670;180;407;10
2020.09.22;22:24:00;118670;118670;118640;118640;46;67;10
2020.09.22;22:25:00;118640;118750;118640;118700;499;1016;10
2020.09.22;22:26:00;118700;118760;118690;118750;204;369;10
2020.09.22;22:27:00;118740;118770;118730;118740;169;311;10
2020.09.22;22:28:00;118740;118830;118740;118740;632;1410;10
2020.09.22;22:29:00;118760;118770;118720;118720;115;198;10
2020.09.22;22:30:00;118730;118760;118700;118720;157;276;10
2020.09.22;22:31:00;118710;118720;118610;118640;254;567;10
2020.09.22;22:32:00;118630;118670;118610;118660;102;184;10
2020.09.22;22:33:00;118650;118720;118640;118720;115;261;10
2020.09.22;22:34:00;118720;118720;118680;118720;76;125;10
2020.09.22;22:35:00;118720;118780;118720;118780;272;512;10
2020.09.22;22:36:00;118770;118800;118770;118790;153;271;10
2020.09.22;22:37:00;118790;118870;118780;118870;408;986;10
2020.09.22;22:38:00;118870;118870;118810;118840;255;547;10
2020.09.22;22:39:00;118840;118850;118800;118850;130;237;10
2020.09.22;22:40:00;118860;118900;118830;118890;166;408;10
2020.09.22;22:41:00;118890;118900;118840;118860;104;199;10
2020.09.22;22:42:00;118870;118870;118840;118860;49;90;10
2020.09.22;22:43:00;118850;118890;118840;118890;59;104;10
2020.09.22;22:44:00;118890;118890;118860;118880;105;197;10
2020.09.22;22:45:00;118870;118920;118840;118920;286;651;10
2020.09.22;22:46:00;118920;118920;118880;118900;144;384;10
2020.09.22;22:47:00;118890;118900;118880;118880;85;215;10
2020.09.22;22:48:00;118890;118900;118860;118880;198;338;10
2020.09.22;22:49:00;118890;118960;118890;118920;269;715;10
2020.09.22;22:50:00;118920;118920;118820;118870;419;816;10
2020.09.22;22:51:00;118870;118880;118830;118840;261;551;10
2020.09.22;22:52:00;118840;118890;118840;118860;250;709;10
2020.09.22;22:53:00;118860;118860;118830;118840;103;179;10
2020.09.22;22:54:00;118860;118920;118820;118920;287;575;10
2020.09.22;22:55:00;118920;118990;118910;118960;368;622;10
2020.09.22;22:56:00;118950;119050;118950;119020;524;988;10
2020.09.22;22:57:00;119010;119060;119000;119010;195;395;10
2020.09.22;22:58:00;119010;119020;118900;118930;446;921;10
2020.09.22;22:59:00;118940;118990;118930;118940;312;597;10
2020.09.22;23:00:00;118950;119030;118950;119010;192;377;10
2020.09.22;23:01:00;119020;119020;118970;119000;105;193;10
2020.09.22;23:02:00;119000;119000;118950;118950;72;131;10
2020.09.22;23:03:00;118950;118960;118910;118930;89;153;10
2020.09.22;23:04:00;118930;118930;118910;118920;43;58;10
2020.09.22;23:05:00;118920;118920;118900;118910;72;171;10
2020.09.22;23:06:00;118900;118920;118890;118890;141;252;10
2020.09.22;23:07:00;118890;118900;118840;118880;193;357;10
2020.09.22;23:08:00;118860;118880;118850;118870;108;165;10
2020.09.22;23:09:00;118870;118940;118870;118920;246;448;10
2020.09.22;23:10:00;118920;118920;118900;118900;40;49;10
2020.09.22;23:11:00;118910;118910;118880;118890;84;119;10
2020.09.22;23:12:00;118880;118900;118830;118830;158;292;10
2020.09.22;23:13:00;118830;118850;118820;118840;69;258;10
2020.09.22;23:14:00;118850;118910;118840;118910;96;177;10
2020.09.22;23:15:00;118900;118900;118820;118840;125;216;10
2020.09.22;23:16:00;118840;118850;118810;118850;49;63;10
2020.09.22;23:17:00;118850;118890;118850;118890;55;107;10
2020.09.22;23:18:00;118880;118890;118860;118870;28;34;10
2020.09.22;23:19:00;118880;118900;118880;118880;20;22;10
2020.09.22;23:20:00;118880;118890;118870;118880;59;93;10
2020.09.22;23:21:00;118880;118880;118870;118880;29;53;10
2020.09.22;23:22:00;118880;118900;118870;118900;35;110;10
2020.09.22;23:23:00;118890;118970;118890;118930;128;327;10
2020.09.22;23:24:00;118950;118960;118910;118940;90;174;10
2020.09.22;23:25:00;118950;118950;118920;118940;50;66;10
2020.09.22;23:26:00;118930;118940;118910;118930;68;138;10
2020.09.22;23:27:00;118920;118950;118920;118930;44;57;10
2020.09.22;23:28:00;118930;118970;118930;118940;46;86;10
2020.09.22;23:29:00;118940;118960;118910;118920;52;94;10
2020.09.22;23:30:00;118930;118930;118910;118920;20;30;10
2020.09.22;23:31:00;118920;118950;118920;118920;34;91;10
2020.09.22;23:32:00;118930;118970;118920;118970;38;103;10
2020.09.22;23:33:00;118960;118990;118940;118970;81;143;10
2020.09.22;23:34:00;118970;118990;118960;118970;31;76;10
2020.09.22;23:35:00;118980;118990;118950;118950;44;97;10
2020.09.22;23:36:00;118950;118960;118940;118940;41;75;10
2020.09.22;23:37:00;118950;118960;118930;118940;61;105;10
2020.09.22;23:38:00;118950;118950;118930;118930;32;56;10
2020.09.22;23:39:00;118940;118980;118940;118950;69;194;10
2020.09.22;23:40:00;118950;118970;118950;118960;53;89;10
2020.09.22;23:41:00;118950;118960;118950;118950;25;40;10
2020.09.22;23:42:00;118960;118990;118950;118980;59;176;10
2020.09.22;23:43:00;118980;119030;118980;119020;120;462;10
2020.09.22;23:44:00;119020;119070;119020;119040;183;288;10
2020.09.22;23:45:00;119040;119080;119040;119080;167;261;10
2020.09.22;23:46:00;119060;119100;119060;119070;139;326;10
2020.09.22;23:47:00;119080;119100;119010;119020;139;285;10
2020.09.22;23:48:00;119010;119050;118960;119040;165;312;10
2020.09.22;23:49:00;119040;119570;118960;119570;653;1601;10
2020.09.23;10:00:00;119500;119580;118940;119180;2262;5169;10
2020.09.23;10:01:00;119170;119190;118820;119020;2595;5311;10
2020.09.23;10:02:00;119030;119120;118870;119000;1261;2507;10
2020.09.23;10:03:00;119000;119030;118820;118820;1447;2665;10
2020.09.23;10:04:00;118820;119000;118730;118900;2420;3975;10
2020.09.23;10:05:00;118880;118890;118590;118680;1731;3114;10
2020.09.23;10:06:00;118680;118990;118650;118870;1986;3312;10
2020.09.23;10:07:00;118880;118940;118780;118810;956;1578;10
2020.09.23;10:08:00;118810;118810;118600;118690;1356;2615;10
2020.09.23;10:09:00;118690;118770;118610;118750;988;2131;10
2020.09.23;10:10:00;118760;118790;118700;118790;801;1454;10
2020.09.23;10:11:00;118790;118790;118610;118720;1022;2060;10
2020.09.23;10:12:00;118720;118830;118670;118770;603;914;10
2020.09.23;10:13:00;118760;118780;118510;118570;1491;2828;10
2020.09.23;10:14:00;118570;118670;118510;118550;846;1435;10
2020.09.23;10:15:00;118530;118610;118390;118580;1761;3199;10
2020.09.23;10:16:00;118590;118660;118520;118570;1189;1994;10
2020.09.23;10:17:00;118560;118800;118560;118730;907;1547;10
2020.09.23;10:18:00;118730;118750;118630;118670;648;963;10
2020.09.23;10:19:00;118660;118760;118650;118700;438;732;10
2020.09.23;10:20:00;118700;118710;118600;118700;683;1263;10
2020.09.23;10:21:00;118710;118970;118700;118890;1854;3588;10
2020.09.23;10:22:00;118880;119110;118880;119090;1587;3169;10
2020.09.23;10:23:00;119090;119190;119090;119140;1368;2715;10
2020.09.23;10:24:00;119140;119290;119140;119240;1525;3196;10
2020.09.23;10:25:00;119240;119350;119180;119210;1763;3492;10
2020.09.23;10:26:00;119210;119210;118990;119090;1624;3480;10
2020.09.23;10:27:00;119100;119180;119070;119160;546;823;10
2020.09.23;10:28:00;119140;119180;119110;119120;443;806;10
2020.09.23;10:29:00;119130;119140;119010;119030;552;957;10
2020.09.23;10:30:00;119030;119400;119030;119270;2413;4603;10
2020.09.23;10:31:00;119270;119270;119180;119220;625;1268;10
2020.09.23;10:32:00;119220;119410;119210;119370;993;1815;10
2020.09.23;10:33:00;119390;119400;119260;119290;686;1355;10
2020.09.23;10:34:00;119310;119330;119240;119300;420;796;10
2020.09.23;10:35:00;119300;119360;119240;119250;659;1135;10
2020.09.23;10:36:00;119250;119290;119110;119240;893;1739;10
2020.09.23;10:37:00;119240;119340;119210;119340;377;630;10
2020.09.23;10:38:00;119330;119450;119300;119430;883;1910;10
2020.09.23;10:39:00;119440;119460;119400;119430;673;1559;10
2020.09.23;10:40:00;119440;119730;119350;119710;2669;6361;10
2020.09.23;10:41:00;119690;119790;119670;119730;2112;4183;10
2020.09.23;10:42:00;119710;119740;119600;119660;729;1510;10
2020.09.23;10:43:00;119660;119830;119650;119820;789;1769;10
2020.09.23;10:44:00;119810;119840;119740;119770;788;1821;10
2020.09.23;10:45:00;119790;119810;119660;119730;771;1684;10
2020.09.23;10:46:00;119740;119840;119720;119830;771;1919;10
2020.09.23;10:47:00;119830;119910;119770;119780;1188;2690;10
2020.09.23;10:48:00;119790;119830;119730;119760;611;1095;10
2020.09.23;10:49:00;119760;119770;119650;119700;712;1568;10
2020.09.23;10:50:00;119710;119710;119650;119700;760;1739;10
2020.09.23;10:51:00;119700;119870;119700;119850;1028;2440;10
2020.09.23;10:52:00;119850;119910;119820;119880;633;1268;10
2020.09.23;10:53:00;119880;119910;119780;119800;428;841;10
2020.09.23;10:54:00;119790;119850;119770;119830;425;883;10
2020.09.23;10:55:00;119830;119880;119730;119730;579;1031;10
2020.09.23;10:56:00;119740;119790;119720;119770;261;488;10
2020.09.23;10:57:00;119770;119800;119690;119740;449;661;10
2020.09.23;10:58:00;119750;119810;119740;119770;337;629;10
2020.09.23;10:59:00;119750;119870;119750;119790;439;833;10
2020.09.23;11:00:00;119790;119900;119790;119890;749;1251;10
2020.09.23;11:01:00;119890;119960;119850;119860;961;1914;10
2020.09.23;11:02:00;119870;119910;119760;119770;700;1302;10
2020.09.23;11:03:00;119770;119790;119660;119690;753;1451;10
2020.09.23;11:04:00;119690;119780;119640;119750;682;1350;10
2020.09.23;11:05:00;119750;119790;119730;119790;380;560;10
2020.09.23;11:06:00;119780;119880;119750;119860;698;1299;10
2020.09.23;11:07:00;119870;119930;119860;119890;1051;2067;10
2020.09.23;11:08:00;119890;119890;119770;119840;802;1421;10
2020.09.23;11:09:00;119850;119960;119840;119910;766;1520;10
2020.09.23;11:10:00;119910;119950;119850;119860;415;1003;10
2020.09.23;11:11:00;119850;119900;119810;119840;489;906;10
2020.09.23;11:12:00;119850;119940;119830;119850;374;883;10
2020.09.23;11:13:00;119870;119870;119790;119800;425;798;10
2020.09.23;11:14:00;119800;119910;119800;119910;316;844;10
2020.09.23;11:15:00;119910;119910;119830;119840;261;528;10
2020.09.23;11:16:00;119830;119890;119830;119870;156;262;10
2020.09.23;11:17:00;119870;119950;119870;119870;572;1160;10
2020.09.23;11:18:00;119870;119910;119810;119820;458;797;10
2020.09.23;11:19:00;119820;119900;119820;119900;370;589;10
2020.09.23;11:20:00;119900;119910;119830;119840;352;534;10
2020.09.23;11:21:00;119840;119850;119770;119810;539;951;10
2020.09.23;11:22:00;119810;119830;119770;119790;296;545;10
2020.09.23;11:23:00;119790;119810;119700;119730;660;1487;10
2020.09.23;11:24:00;119740;119820;119710;119740;485;930;10
2020.09.23;11:25:00;119730;119850;119720;119850;472;937;10
2020.09.23;11:26:00;119850;119900;119830;119900;360;721;10
2020.09.23;11:27:00;119890;119910;119800;119800;404;831;10
2020.09.23;11:28:00;119800;119870;119800;119820;377;659;10
2020.09.23;11:29:00;119830;119870;119780;119810;274;500;10
2020.09.23;11:30:00;119820;119910;119800;119880;269;512;10
2020.09.23;11:31:00;119880;120060;119880;120020;1622;3957;10
2020.09.23;11:32:00;120010;120050;119970;120010;786;1446;10
2020.09.23;11:33:00;120010;120060;119970;120040;501;1026;10
2020.09.23;11:34:00;120060;120150;120040;120080;1171;3068;10
2020.09.23;11:35:00;120070;120170;120060;120170;760;1383;10
2020.09.23;11:36:00;120170;120190;120090;120170;911;1834;10
2020.09.23;11:37:00;120180;120200;120150;120180;768;1523;10
2020.09.23;11:38:00;120170;120230;120150;120200;838;1539;10
2020.09.23;11:39:00;120200;120270;120180;120230;1233;2297;10
2020.09.23;11:40:00;120240;120300;120190;120190;1317;2932;10
2020.09.23;11:41:00;120190;120250;120180;120230;484;874;10
2020.09.23;11:42:00;120240;120240;120190;120210;275;606;10
2020.09.23;11:43:00;120220;120250;120120;120130;570;1178;10
2020.09.23;11:44:00;120140;120170;120080;120120;715;1325;10
2020.09.23;11:45:00;120110;120180;120110;120150;479;934;10
2020.09.23;11:46:00;120150;120200;120110;120130;608;1224;10
2020.09.23;11:47:00;120120;120190;120120;120170;255;461;10
2020.09.23;11:48:00;120170;120190;120140;120180;240;567;10
2020.09.23;11:49:00;120170;120180;120090;120110;408;781;10
2020.09.23;11:50:00;120100;120130;120020;120040;615;1188;10
2020.09.23;11:51:00;120040;120100;119980;120090;677;1408;10
2020.09.23;11:52:00;120090;120170;120090;120150;412;821;10
2020.09.23;11:53:00;120150;120190;120150;120170;147;280;10
2020.09.23;11:54:00;120170;120190;120150;120180;179;339;10
2020.09.23;11:55:00;120190;120230;120180;120180;422;927;10
2020.09.23;11:56:00;120180;120210;120160;120200;291;627;10
2020.09.23;11:57:00;120200;120280;120200;120250;526;1136;10
2020.09.23;11:58:00;120260;120350;120210;120310;1042;2447;10
2020.09.23;11:59:00;120320;120370;120260;120260;811;1520;10
2020.09.23;12:00:00;120270;120430;120260;120420;1534;3028;10
2020.09.23;12:01:00;120420;120440;120330;120350;745;1834;10
2020.09.23;12:02:00;120350;120390;120290;120380;726;1450;10
2020.09.23;12:03:00;120380;120480;120370;120420;1408;2820;10
2020.09.23;12:04:00;120410;120440;120340;120380;655;1299;10
2020.09.23;12:05:00;120400;120470;120400;120460;509;987;10
2020.09.23;12:06:00;120460;120480;120390;120460;426;1052;10
2020.09.23;12:07:00;120450;120460;120370;120390;367;1001;10
2020.09.23;12:08:00;120390;120400;120320;120350;353;623;10
2020.09.23;12:09:00;120340;120370;120310;120350;370;691;10
2020.09.23;12:10:00;120350;120450;120350;120390;381;759;10
2020.09.23;12:11:00;120390;120440;120360;120360;261;451;10
2020.09.23;12:12:00;120370;120410;120360;120370;181;339;10
2020.09.23;12:13:00;120360;120450;120350;120430;531;1086;10
2020.09.23;12:14:00;120420;120420;120350;120370;192;329;10
2020.09.23;12:15:00;120370;120450;120320;120440;357;638;10
2020.09.23;12:16:00;120440;120450;120400;120440;202;539;10
2020.09.23;12:17:00;120450;120450;120400;120420;277;664;10
2020.09.23;12:18:00;120410;120420;120360;120370;248;1172;10
2020.09.23;12:19:00;120370;120380;120340;120370;345;1090;10
2020.09.23;12:20:00;120380;120430;120360;120410;286;676;10
2020.09.23;12:21:00;120410;120430;120360;120380;196;380;10
2020.09.23;12:22:00;120380;120390;120330;120340;222;447;10
2020.09.23;12:23:00;120340;120350;120240;120240;664;1331;10
2020.09.23;12:24:00;120240;120270;120220;120260;267;496;10
2020.09.23;12:25:00;120270;120280;120140;120180;686;1601;10
2020.09.23;12:26:00;120180;120190;120050;120060;616;1209;10
2020.09.23;12:27:00;120070;120140;120020;120140;550;1182;10
2020.09.23;12:28:00;120140;120200;120090;120090;454;816;10
2020.09.23;12:29:00;120100;120190;120070;120180;347;781;10
2020.09.23;12:30:00;120170;120250;120170;120230;397;731;10
2020.09.23;12:31:00;120240;120250;120140;120150;279;501;10
2020.09.23;12:32:00;120160;120180;120120;120170;217;385;10
2020.09.23;12:33:00;120180;120210;120160;120180;336;699;10
2020.09.23;12:34:00;120180;120220;120170;120180;203;481;10
2020.09.23;12:35:00;120180;120180;120150;120150;108;190;10
2020.09.23;12:36:00;120160;120160;119910;119950;1153;2710;10
2020.09.23;12:37:00;119950;120070;119930;120040;638;1217;10
2020.09.23;12:38:00;120030;120060;120020;120040;217;571;10
2020.09.23;12:39:00;120050;120110;120020;120080;308;725;10
2020.09.23;12:40:00;120080;120080;119920;119920;857;2543;10
2020.09.23;12:41:00;119920;119990;119920;119950;277;977;10
2020.09.23;12:42:00;119940;119950;119890;119920;453;904;10
2020.09.23;12:43:00;119930;119940;119870;119880;606;1260;10
2020.09.23;12:44:00;119870;119990;119870;119930;828;1821;10
2020.09.23;12:45:00;119940;120040;119860;119870;836;2074;10
2020.09.23;12:46:00;119870;119910;119830;119840;749;1478;10
2020.09.23;12:47:00;119840;120120;119840;120100;1110;2064;10
2020.09.23;12:48:00;120100;120150;120070;120150;602;1029;10
2020.09.23;12:49:00;120140;120200;120130;120140;778;1558;10
2020.09.23;12:50:00;120140;120190;120110;120160;337;569;10
2020.09.23;12:51:00;120150;120270;120140;120250;479;989;10
2020.09.23;12:52:00;120250;120280;120210;120210;366;725;10
2020.09.23;12:53:00;120210;120220;120130;120180;343;904;10
2020.09.23;12:54:00;120190;120220;120170;120170;189;369;10
2020.09.23;12:55:00;120180;120190;120070;120100;480;991;10
2020.09.23;12:56:00;120100;120100;120010;120030;446;930;10
2020.09.23;12:57:00;120040;120040;119930;119960;474;1000;10
2020.09.23;12:58:00;119970;119980;119860;119870;576;1215;10
2020.09.23;12:59:00;119870;119910;119860;119890;400;676;10
2020.09.23;13:00:00;119880;119970;119870;119970;385;676;10
2020.09.23;13:01:00;119960;119980;119890;119900;333;754;10
2020.09.23;13:02:00;119900;119910;119770;119800;733;1678;10
2020.09.23;13:03:00;119800;119820;119760;119810;382;709;10
2020.09.23;13:04:00;119800;119810;119730;119750;368;846;10
2020.09.23;13:05:00;119740;119780;119730;119730;230;461;10
