<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2020.09.18;10:58:00;122360;122450;122330;122410;538;999;10
2020.09.18;10:59:00;122410;122440;122360;122390;416;771;10
2020.09.18;11:00:00;122390;122470;122340;122440;548;1179;10
2020.09.18;11:01:00;122430;122530;122430;122460;633;1330;10
2020.09.18;11:02:00;122460;122530;122450;122520;252;525;10
2020.09.18;11:03:00;122520;122540;122440;122470;365;771;10
2020.09.18;11:04:00;122460;122500;122430;122460;173;300;10
2020.09.18;11:05:00;122450;122480;122410;122420;302;565;10
2020.09.18;11:06:00;122420;122440;122360;122360;323;496;10
2020.09.18;11:07:00;122370;122520;122360;122510;328;628;10
2020.09.18;11:08:00;122500;122530;122450;122470;252;485;10
2020.09.18;11:09:00;122470;122520;122400;122400;343;1083;10
2020.09.18;11:10:00;122400;122480;122370;122450;391;839;10
2020.09.18;11:11:00;122460;122500;122410;122450;241;535;10
2020.09.18;11:12:00;122450;122470;122420;122440;97;175;10
2020.09.18;11:13:00;122430;122460;122400;122430;129;310;10
2020.09.18;11:14:00;122430;122460;122400;122430;158;305;10
2020.09.18;11:15:00;122420;122490;122400;122450;368;878;10
2020.09.18;11:16:00;122430;122450;122370;122410;312;828;10
2020.09.18;11:17:00;122410;122470;122390;122400;289;520;10
2020.09.18;11:18:00;122400;122510;122380;122500;315;561;10
2020.09.18;11:19:00;122500;122530;122460;122480;266;544;10
2020.09.18;11:20:00;122480;122490;122370;122410;329;674;10
2020.09.18;11:21:00;122400;122450;122390;122420;343;755;10
2020.09.18;11:22:00;122420;122440;122390;122400;121;389;10
2020.09.18;11:23:00;122390;122420;122300;122310;491;1113;10
2020.09.18;11:24:00;122310;122340;122300;122320;300;613;10
2020.09.18;11:25:00;122310;122380;122300;122320;325;854;10
2020.09.18;11:26:00;122320;122330;122240;122290;854;2118;10
2020.09.18;11:27:00;122290;122330;122230;122330;402;913;10
2020.09.18;11:28:00;122320;122410;122320;122400;389;778;10
2020.09.18;11:29:00;122410;122540;122410;122520;862;2046;10
2020.09.18;11:30:00;122530;122530;122440;122490;438;921;10
2020.09.18;11:31:00;122480;122550;122450;122500;529;1087;10
2020.09.18;11:32:00;122500;122510;122450;122460;214;392;10
2020.09.18;11:33:00;122460;122470;122400;122410;309;568;10
2020.09.18;11:34:00;122420;122440;122360;122410;325;796;10
2020.09.18;11:35:00;122420;122450;122390;122410;224;530;10
2020.09.18;11:36:00;122400;122400;122310;122350;423;869;10
2020.09.18;11:37:00;122350;122370;122320;122350;144;213;10
2020.09.18;11:38:00;122350;122440;122340;122440;247;382;10
2020.09.18;11:39:00;122440;122440;122380;122400;142;293;10
2020.09.18;11:40:00;122400;122400;122350;122380;158;277;10
2020.09.18;11:41:00;122360;122370;122330;122340;180;482;10
2020.09.18;11:42:00;122330;122410;122330;122400;160;324;10
2020.09.18;11:43:00;122400;122470;122390;122460;241;436;10
2020.09.18;11:44:00;122440;122460;122430;122450;82;131;10
2020.09.18;11:45:00;122440;122450;122410;122450;87;177;10
2020.09.18;11:46:00;122440;122470;122390;122450;165;379;10
2020.09.18;11:47:00;122460;122490;122360;122420;464;1025;10
